date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:58:21	818968/818968	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jun%202018%2013:43:55%20GMT	http://webdesign-finder.com/html/plastrix/shortcodes_socialicons.html	/Users/apple/websites/preet%201/webdesign-finder.com/html/plastrix/shortcodes_socialicons.html	(from http://webdesign-finder.com/html/plastrix/)
12:58:23	31055/31055	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jun%202018%2013:43:53%20GMT	http://webdesign-finder.com/html/plastrix/events-left.html	/Users/apple/websites/preet%201/webdesign-finder.com/html/plastrix/events-left.html	(from http://webdesign-finder.com/html/plastrix/)
12:58:23	31015/31015	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jun%202018%2013:43:53%20GMT	http://webdesign-finder.com/html/plastrix/events-right.html	/Users/apple/websites/preet%201/webdesign-finder.com/html/plastrix/events-right.html	(from http://webdesign-finder.com/html/plastrix/)
12:58:23	27018/27018	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jun%202018%2013:43:53%20GMT	http://webdesign-finder.com/html/plastrix/events-full.html	/Users/apple/websites/preet%201/webdesign-finder.com/html/plastrix/events-full.html	(from http://webdesign-finder.com/html/plastrix/)
12:58:25	32180/32180	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jun%202018%2013:43:53%20GMT	http://webdesign-finder.com/html/plastrix/event-single-left.html	/Users/apple/websites/preet%201/webdesign-finder.com/html/plastrix/event-single-left.html	(from http://webdesign-finder.com/html/plastrix/)
12:58:25	32126/32126	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jun%202018%2013:43:53%20GMT	http://webdesign-finder.com/html/plastrix/event-single-right.html	/Users/apple/websites/preet%201/webdesign-finder.com/html/plastrix/event-single-right.html	(from http://webdesign-finder.com/html/plastrix/)
12:58:27	28142/28142	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jun%202018%2013:43:53%20GMT	http://webdesign-finder.com/html/plastrix/event-single-full.html	/Users/apple/websites/preet%201/webdesign-finder.com/html/plastrix/event-single-full.html	(from http://webdesign-finder.com/html/plastrix/)
12:58:28	19432/19432	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jun%202018%2013:43:53%20GMT	http://webdesign-finder.com/html/plastrix/comingsoon1.html	/Users/apple/websites/preet%201/webdesign-finder.com/html/plastrix/comingsoon1.html	(from http://webdesign-finder.com/html/plastrix/)
12:58:29	20132/20132	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jun%202018%2013:43:53%20GMT	http://webdesign-finder.com/html/plastrix/comingsoon2.html	/Users/apple/websites/preet%201/webdesign-finder.com/html/plastrix/comingsoon2.html	(from http://webdesign-finder.com/html/plastrix/)
12:58:29	29718/29718	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jun%202018%2013:43:53%20GMT	http://webdesign-finder.com/html/plastrix/faq.html	/Users/apple/websites/preet%201/webdesign-finder.com/html/plastrix/faq.html	(from http://webdesign-finder.com/html/plastrix/)
